"","County","Category","Proportion","proportion_groups"
"68","Makueni","180+ days",17.1,">16-23"
"69","Nyandarua","<60 days",23.4,">23-35"
"70","Nyandarua","60-89 days",14.6,">11-16"
"71","Nyandarua","90-179 days",43.5,">35"
"72","Nyandarua","180+ days",10.7,"≤ 11"
"73","Nyeri","<60 days",27.3,">23-35"
"74","Nyeri","60-89 days",7.2,"≤ 11"
"75","Nyeri","90-179 days",35.7,">35"
"76","Nyeri","180+ days",20.4,">16-23"
"77","Kirinyaga","<60 days",13.1,">11-16"
"78","Kirinyaga","60-89 days",11.7,">11-16"
"79","Kirinyaga","90-179 days",36.1,">35"
"80","Kirinyaga","180+ days",21.7,">16-23"
"81","Muranga","<60 days",19.2,">16-23"
"82","Muranga","60-89 days",11.4,">11-16"
"83","Muranga","90-179 days",37.7,">35"
"84","Muranga","180+ days",22.5,">16-23"
"85","Kiambu","<60 days",22.1,">16-23"
"86","Kiambu","60-89 days",19.6,">16-23"
"87","Kiambu","90-179 days",35.1,">35"
"88","Kiambu","180+ days",13.6,">11-16"
"89","Turkana","<60 days",10.7,"≤ 11"
"90","Turkana","60-89 days",10.2,"≤ 11"
"91","Turkana","90-179 days",28.6,">23-35"
"92","Turkana","180+ days",47.5,">35"
"93","West Pokot","<60 days",21.4,">16-23"
"94","West Pokot","60-89 days",18.8,">16-23"
"95","West Pokot","90-179 days",36.4,">35"
"96","West Pokot","180+ days",10.6,"≤ 11"
"97","Samburu","<60 days",23.3,">23-35"
"98","Samburu","60-89 days",8.1,"≤ 11"
"99","Samburu","90-179 days",29.6,">23-35"
"100","Samburu","180+ days",23.1,">23-35"
"101","Trans Nzoia","<60 days",30.3,">23-35"
"102","Trans Nzoia","60-89 days",9.8,"≤ 11"
"103","Trans Nzoia","90-179 days",40.9,">35"
"104","Trans Nzoia","180+ days",11.8,">11-16"
"105","Uasin Gishu","<60 days",23.1,">23-35"
"106","Uasin Gishu","60-89 days",15.8,">11-16"
"107","Uasin Gishu","90-179 days",37.6,">35"
"108","Uasin Gishu","180+ days",17,">16-23"
"109","Elgeyo Marakwet","<60 days",26.9,">23-35"
"110","Elgeyo Marakwet","60-89 days",19.4,">16-23"
"111","Elgeyo Marakwet","90-179 days",35.4,">35"
"112","Elgeyo Marakwet","180+ days",3.7,"≤ 11"
"113","Nandi","<60 days",26.7,">23-35"
