"","County","Doctor","Nurse.Midwife","Traditional_Birth_Attendant","Relative.Friend","Percentage_delivered_by_skilled_provider","Year"
"43","Homa Bay",12.7,47.6,28.9,2,60.4,"2014"
"44","Migori",5.7,47.7,28.6,7,53.4,"2014"
"45","Kisii",15.2,57.6,3.8,18.5,72.8,"2014"
"46","Nyamira",7.5,66.6,2.2,16.5,74.1,"2014"
"47","Nairobi",53.4,35.7,5.5,2.8,89.1,"2014"
"48","Mombasa",66.9,28.6,4.1,0.4,95.5,"2022"
"49","Kwale",29.1,60.1,7.9,0.7,89.3,"2022"
"50","Kilifi",46.1,38.4,9,4.5,84.5,"2022"
"51","Tana River",8.7,50.5,40.5,0.3,59.2,"2022"
"52","Lamu",41.2,51.3,5.6,1.9,92.5,"2022"
"53","Taita Taveta",37.7,58,0,1.9,95.7,"2022"
"54","Garissa",19.8,48.3,18.4,13.5,68.1,"2022"
"55","Wajir",3.4,53.2,42.9,0,56.6,"2022"
"56","Mandera",32.7,22,28.6,16.7,54.7,"2022"
"57","Marsabit",22,46.7,29,2.3,68.7,"2022"
"58","Isiolo",60,25,12.9,1.3,85,"2022"
"59","Meru",63.2,27.7,0,8,90.9,"2022"
"60","Tharaka-Nithi",65.9,29.2,1,3.9,95.1,"2022"
"61","Embu",56.6,39.7,1,0,96.3,"2022"
"62","Kitui",63.6,22.3,9.9,4.2,86,"2022"
"63","Machakos",42.6,52.8,2.1,1.7,95.3,"2022"
"64","Makueni",24.8,67.3,2.9,4.6,92.1,"2022"
"65","Nyandarua",69.7,28.2,0.4,1.6,98,"2022"
"66","Nyeri",53.7,45.4,0,0,99.1,"2022"
"67","Kirinyaga",64.2,33.1,2.1,0,97.3,"2022"
"68","Murang'a",60.8,35.4,0.4,2.1,96.2,"2022"
"69","Kiambu",68.7,29.4,0.8,0.5,98.2,"2022"
"70","Turkana",9.7,43,12.1,14.8,52.6,"2022"
"71","West Pokot",32.9,32.4,32.3,2.4,65.3,"2022"
"72","Samburu",10.2,46.4,12.1,26.5,56.6,"2022"
"73","Trans Nzoia",48,45.3,4.5,1.4,93.3,"2022"
"74","Uasin Gishu",46.9,48.4,3.7,0.6,95.3,"2022"
"75","Elgeyo-Marakwet",29.7,67.9,2.2,0.3,97.5,"2022"
"76","Nandi",73.5,13.6,9.2,3.5,87.1,"2022"
"77","Baringo",32.3,50.8,12,4.8,83,"2022"
"78","Laikipia",64.5,28.1,3.5,1.4,92.6,"2022"
"79","Nakuru",67.6,25.8,0.6,3.8,93.4,"2022"
"80","Narok",25.6,44.5,20.7,7.3,70.1,"2022"
"81","Kajiado",58.4,26.8,7.2,7.6,85.3,"2022"
"82","Kericho",54.1,38.2,4.2,1.3,92.3,"2022"
"83","Bomet",57.5,30.7,1.6,6.9,88.2,"2022"
"84","Kakamega",63.4,32.3,1.9,0.6,95.7,"2022"
"85","Vihiga",40.8,56.4,0.9,0.9,97.2,"2022"
"86","Bungoma",57.9,29.3,8.3,2.5,87.2,"2022"
"87","Busia",36.6,50.9,7.6,3.5,87.6,"2022"
