"County","Gender","variable","value"
"Muranga","Male","Ever","21.0"
"Kiambu","Male","Ever","33.9"
"Turkana","Male","Ever","12.5"
"West Pokot","Male","Ever","27.7"
"Samburu","Male","Ever","35.2"
"Trans Nzoia","Male","Ever","14.0"
"Uasin Gishu","Male","Ever","21.3"
"Elgeyo Marakwet","Male","Ever","29.4"
"Nandi","Male","Ever","39.1"
"Baringo","Male","Ever","8.3"
"Laikipia","Male","Ever","43.5"
"Nakuru","Male","Ever","23.0"
"Narok","Male","Ever","20.3"
"Kajiado","Male","Ever","7.1"
"Kericho","Male","Ever","1.1"
"Bomet","Male","Ever","22.9"
"Kakamega","Male","Ever","3.1"
"Vihiga","Male","Ever","20.5"
"Bungoma","Male","Ever","26.8"
"Busia","Male","Ever","32.1"
"Siaya","Male","Ever","0.0"
"Kisumu","Male","Ever","18.4"
"Homa Bay","Male","Ever","19.6"
"Migori","Male","Ever","36.9"
"Kisii","Male","Ever","21.8"
"Nyamira","Male","Ever","5.8"
"Nairobi","Male","Ever","12.2"
"Mombasa","Female","Last 12 months","2.5"
"Kwale","Female","Last 12 months","0.0"
"Kilifi","Female","Last 12 months","1.5"
"Tana River","Female","Last 12 months","0.6"
"Lamu","Female","Last 12 months","4.4"
"Taita Taveta","Female","Last 12 months","1.2"
"Garissa","Female","Last 12 months","0.0"
"Wajir","Female","Last 12 months","0.2"
"Mandera","Female","Last 12 months","0.3"
"Marsabit","Female","Last 12 months","0.5"
"Isiolo","Female","Last 12 months","4.7"
"Meru","Female","Last 12 months","0.8"
"Tharaka Nithi","Female","Last 12 months","2.7"
"Embu","Female","Last 12 months","1.0"
"Kitui","Female","Last 12 months","0.1"
"Machakos","Female","Last 12 months","1.0"
"Makueni","Female","Last 12 months","0.7"
"Nyandarua","Female","Last 12 months","1.0"
"Nyeri","Female","Last 12 months","1.8"
"Kirinyaga","Female","Last 12 months","0.5"
"Muranga","Female","Last 12 months","6.3"
"Kiambu","Female","Last 12 months","5.5"
"Turkana","Female","Last 12 months","5.3"
"West Pokot","Female","Last 12 months","3.4"
"Samburu","Female","Last 12 months","0.6"
"Trans Nzoia","Female","Last 12 months","0.9"
"Uasin Gishu","Female","Last 12 months","2.5"
"Elgeyo Marakwet","Female","Last 12 months","1.7"
"Nandi","Female","Last 12 months","0.5"
"Baringo","Female","Last 12 months","2.4"
"Laikipia","Female","Last 12 months","1.1"
"Nakuru","Female","Last 12 months","0.5"
"Narok","Female","Last 12 months","0.2"
"Kajiado","Female","Last 12 months","3.1"
"Kericho","Female","Last 12 months","0.0"
"Bomet","Female","Last 12 months","0.2"
"Kakamega","Female","Last 12 months","1.8"
"Vihiga","Female","Last 12 months","1.1"
"Bungoma","Female","Last 12 months","2.3"
"Busia","Female","Last 12 months","0.9"
"Siaya","Female","Last 12 months","1.9"
"Kisumu","Female","Last 12 months","1.9"
"Homa Bay","Female","Last 12 months","1.4"
"Migori","Female","Last 12 months","1.7"
"Kisii","Female","Last 12 months","2.1"
"Nyamira","Female","Last 12 months","0.0"
"Nairobi","Female","Last 12 months","1.3"
"Mombasa","Male","Last 12 months","11.1"
"Kwale","Male","Last 12 months","13.1"
"Kilifi","Male","Last 12 months","7.9"
"Tana River","Male","Last 12 months","0.0"
"Lamu","Male","Last 12 months","2.9"
"Taita Taveta","Male","Last 12 months","3.4"
"Garissa","Male","Last 12 months","0.0"
"Wajir","Male","Last 12 months","0.0"
"Mandera","Male","Last 12 months","0.0"
"Marsabit","Male","Last 12 months","39.7"
"Isiolo","Male","Last 12 months","12.9"
"Meru","Male","Last 12 months","4.6"
"Tharaka Nithi","Male","Last 12 months","15.8"
"Embu","Male","Last 12 months","6.5"
"Kitui","Male","Last 12 months","0.8"
"Machakos","Male","Last 12 months","6.8"
"Makueni","Male","Last 12 months","0.6"
"Nyandarua","Male","Last 12 months","6.0"
"Nyeri","Male","Last 12 months","10.2"
"Kirinyaga","Male","Last 12 months","0.0"
"Muranga","Male","Last 12 months","12.3"
"Kiambu","Male","Last 12 months","20.2"
"Turkana","Male","Last 12 months","12.0"
"West Pokot","Male","Last 12 months","16.3"
"Samburu","Male","Last 12 months","27.8"
"Trans Nzoia","Male","Last 12 months","3.9"
"Uasin Gishu","Male","Last 12 months","7.8"
"Elgeyo Marakwet","Male","Last 12 months","25.6"
"Nandi","Male","Last 12 months","11.5"
"Baringo","Male","Last 12 months","2.3"
"Laikipia","Male","Last 12 months","31.9"
"Nakuru","Male","Last 12 months","8.4"
"Narok","Male","Last 12 months","14.8"
"Kajiado","Male","Last 12 months","7.1"
"Kericho","Male","Last 12 months","1.1"
"Bomet","Male","Last 12 months","14.8"
"Kakamega","Male","Last 12 months","0.8"
"Vihiga","Male","Last 12 months","9.3"
"Bungoma","Male","Last 12 months","25.0"
"Busia","Male","Last 12 months","25.4"
"Siaya","Male","Last 12 months","0.0"
"Kisumu","Male","Last 12 months","9.3"
"Homa Bay","Male","Last 12 months","11.8"
"Migori","Male","Last 12 months","19.1"
"Kisii","Male","Last 12 months","5.2"
"Nyamira","Male","Last 12 months","3.9"
"Nairobi","Male","Last 12 months","12.2"
