"County","Category","Proportion","proportion_groups"
"Nyandarua","180+ days",10.7,"≤ 11"
"Nyeri","<60 days",27.3,">23-35"
"Nyeri","60-89 days",7.2,"≤ 11"
"Nyeri","90-179 days",35.7,">35"
"Nyeri","180+ days",20.4,">16-23"
"Kirinyaga","<60 days",13.1,">11-16"
"Kirinyaga","60-89 days",11.7,">11-16"
"Kirinyaga","90-179 days",36.1,">35"
"Kirinyaga","180+ days",21.7,">16-23"
"Muranga","<60 days",19.2,">16-23"
"Muranga","60-89 days",11.4,">11-16"
"Muranga","90-179 days",37.7,">35"
"Muranga","180+ days",22.5,">16-23"
"Kiambu","<60 days",22.1,">16-23"
"Kiambu","60-89 days",19.6,">16-23"
"Kiambu","90-179 days",35.1,">35"
"Kiambu","180+ days",13.6,">11-16"
"Turkana","<60 days",10.7,"≤ 11"
"Turkana","60-89 days",10.2,"≤ 11"
"Turkana","90-179 days",28.6,">23-35"
"Turkana","180+ days",47.5,">35"
"West Pokot","<60 days",21.4,">16-23"
"West Pokot","60-89 days",18.8,">16-23"
"West Pokot","90-179 days",36.4,">35"
"West Pokot","180+ days",10.6,"≤ 11"
"Samburu","<60 days",23.3,">23-35"
"Samburu","60-89 days",8.1,"≤ 11"
"Samburu","90-179 days",29.6,">23-35"
"Samburu","180+ days",23.1,">23-35"
"Trans Nzoia","<60 days",30.3,">23-35"
"Trans Nzoia","60-89 days",9.8,"≤ 11"
"Trans Nzoia","90-179 days",40.9,">35"
"Trans Nzoia","180+ days",11.8,">11-16"
"Uasin Gishu","<60 days",23.1,">23-35"
"Uasin Gishu","60-89 days",15.8,">11-16"
"Uasin Gishu","90-179 days",37.6,">35"
"Uasin Gishu","180+ days",17,">16-23"
"Elgeyo Marakwet","<60 days",26.9,">23-35"
"Elgeyo Marakwet","60-89 days",19.4,">16-23"
"Elgeyo Marakwet","90-179 days",35.4,">35"
"Elgeyo Marakwet","180+ days",3.7,"≤ 11"
"Nandi","<60 days",26.7,">23-35"
"Nandi","60-89 days",9.1,"≤ 11"
"Nandi","90-179 days",35.7,">35"
"Nandi","180+ days",8.9,"≤ 11"
"Baringo","<60 days",20.2,">16-23"
"Baringo","60-89 days",18.6,">16-23"
"Baringo","90-179 days",40.7,">35"
"Baringo","180+ days",4.7,"≤ 11"
"Laikipia","<60 days",16.4,">16-23"
"Laikipia","60-89 days",14.7,">11-16"
"Laikipia","90-179 days",42,">35"
"Laikipia","180+ days",18.5,">16-23"
"Nakuru","<60 days",24.2,">23-35"
"Nakuru","60-89 days",12.8,">11-16"
"Nakuru","90-179 days",41.7,">35"
"Nakuru","180+ days",14.8,">11-16"
"Narok","<60 days",41.9,">35"
"Narok","60-89 days",9,"≤ 11"
"Narok","90-179 days",26.5,">23-35"
"Narok","180+ days",6.5,"≤ 11"
"Kajiado","<60 days",23.2,">23-35"
"Kajiado","60-89 days",12.4,">11-16"
"Kajiado","90-179 days",38.3,">35"
"Kajiado","180+ days",20.8,">16-23"
"Kericho","<60 days",28.6,">23-35"
"Kericho","60-89 days",12.8,">11-16"
"Kericho","90-179 days",34,">23-35"
"Kericho","180+ days",15,">11-16"
"Bomet","<60 days",27.1,">23-35"
"Bomet","60-89 days",20,">16-23"
"Bomet","90-179 days",34.7,">23-35"
"Bomet","180+ days",8.9,"≤ 11"
"Kakamega","<60 days",14.3,">11-16"
"Kakamega","60-89 days",7.9,"≤ 11"
"Kakamega","90-179 days",39.3,">35"
"Kakamega","180+ days",30,">23-35"
"Vihiga","<60 days",15.5,">11-16"
"Vihiga","60-89 days",18.8,">16-23"
"Vihiga","90-179 days",40.3,">35"
"Vihiga","180+ days",23.6,">23-35"
"Bungoma","<60 days",9.1,"≤ 11"
"Bungoma","60-89 days",10.5,"≤ 11"
"Bungoma","90-179 days",54,">35"
"Bungoma","180+ days",13.4,">11-16"
"Busia","<60 days",32.2,">23-35"
"Busia","60-89 days",19.6,">16-23"
"Busia","90-179 days",30.3,">23-35"
"Busia","180+ days",12.4,">11-16"
"Siaya","<60 days",17.2,">16-23"
"Siaya","60-89 days",9,"≤ 11"
"Siaya","90-179 days",43.9,">35"
